Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Vigra;SN60990;01.01.2013;6,4
Vigra;SN60990;02.01.2013;13,7
Vigra;SN60990;03.01.2013;5,5
Vigra;SN60990;04.01.2013;5,3
Vigra;SN60990;05.01.2013;11,4
Vigra;SN60990;06.01.2013;0,2
Vigra;SN60990;07.01.2013;1,5
Vigra;SN60990;08.01.2013;5,9
Vigra;SN60990;09.01.2013;0,2
Vigra;SN60990;10.01.2013;0,7
Vigra;SN60990;11.01.2013;0
Vigra;SN60990;12.01.2013;0
Vigra;SN60990;13.01.2013;0
Vigra;SN60990;14.01.2013;0
Vigra;SN60990;15.01.2013;0,2
Vigra;SN60990;16.01.2013;0
Vigra;SN60990;17.01.2013;0
Vigra;SN60990;18.01.2013;0
Vigra;SN60990;19.01.2013;0
Vigra;SN60990;20.01.2013;0
Vigra;SN60990;21.01.2013;0
Vigra;SN60990;22.01.2013;0
Vigra;SN60990;23.01.2013;0
Vigra;SN60990;24.01.2013;0
Vigra;SN60990;25.01.2013;0
Vigra;SN60990;26.01.2013;0
Vigra;SN60990;27.01.2013;0
Vigra;SN60990;28.01.2013;0,1
Vigra;SN60990;29.01.2013;1,2
Vigra;SN60990;30.01.2013;1,1
Vigra;SN60990;31.01.2013;5
Vigra;SN60990;01.02.2013;7,5
Vigra;SN60990;02.02.2013;10,3
Vigra;SN60990;03.02.2013;0,2
Vigra;SN60990;04.02.2013;0,2
Vigra;SN60990;05.02.2013;3,5
Vigra;SN60990;06.02.2013;5,2
Vigra;SN60990;07.02.2013;9
Vigra;SN60990;08.02.2013;0
Vigra;SN60990;09.02.2013;0
Vigra;SN60990;10.02.2013;0
Vigra;SN60990;11.02.2013;0
Vigra;SN60990;12.02.2013;0
Vigra;SN60990;13.02.2013;0,6
Vigra;SN60990;14.02.2013;0
Vigra;SN60990;15.02.2013;0
Vigra;SN60990;16.02.2013;0
Vigra;SN60990;17.02.2013;0,2
Vigra;SN60990;18.02.2013;15,9
Vigra;SN60990;19.02.2013;7
Vigra;SN60990;20.02.2013;0,3
Vigra;SN60990;21.02.2013;0
Vigra;SN60990;22.02.2013;0
Vigra;SN60990;23.02.2013;0
Vigra;SN60990;24.02.2013;0
Vigra;SN60990;25.02.2013;0
Vigra;SN60990;26.02.2013;0
Vigra;SN60990;27.02.2013;0
Vigra;SN60990;28.02.2013;1,3
Vigra;SN60990;01.03.2013;3,2
Vigra;SN60990;02.03.2013;7,5
Vigra;SN60990;03.03.2013;2,7
Vigra;SN60990;04.03.2013;6
