Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Middeltemperatur (døgn)
Vigra;SN60990;01.01.2013;8;2,2;4,9
Vigra;SN60990;02.01.2013;5,9;2,7;5,2
Vigra;SN60990;03.01.2013;8,6;4,8;7,4
Vigra;SN60990;04.01.2013;8,2;4,8;6,8
Vigra;SN60990;05.01.2013;8,4;6,4;7,4
Vigra;SN60990;06.01.2013;8,1;2,7;5,7
Vigra;SN60990;07.01.2013;8,1;3,6;6,3
Vigra;SN60990;08.01.2013;7,6;2,4;4,7
Vigra;SN60990;09.01.2013;5,3;1;3,6
Vigra;SN60990;10.01.2013;4;0,3;1,9
Vigra;SN60990;11.01.2013;1,7;-1,8;0
Vigra;SN60990;12.01.2013;0,3;-2,6;-1,4
Vigra;SN60990;13.01.2013;-0,2;-4,8;-1,8
Vigra;SN60990;14.01.2013;1,9;-4,2;-0,8
Vigra;SN60990;15.01.2013;0,5;-4,1;-0,4
Vigra;SN60990;16.01.2013;0,6;-1,6;-0,7
Vigra;SN60990;17.01.2013;0;-2,5;-2
Vigra;SN60990;18.01.2013;-1,5;-4,5;-3,7
Vigra;SN60990;19.01.2013;-1,4;-7,6;-4
Vigra;SN60990;20.01.2013;1,4;-4,9;-0,5
Vigra;SN60990;21.01.2013;1,5;-2,7;-1
Vigra;SN60990;22.01.2013;-0,5;-6;-3,1
Vigra;SN60990;23.01.2013;-0,6;-6;-3,6
Vigra;SN60990;24.01.2013;0;-5;-2,4
Vigra;SN60990;25.01.2013;3,4;-3,6;1,7
Vigra;SN60990;26.01.2013;5,2;-0,1;3,3
Vigra;SN60990;27.01.2013;6,4;-1;3,7
Vigra;SN60990;28.01.2013;7,2;3,6;5,5
Vigra;SN60990;29.01.2013;6,5;0,9;4,6
Vigra;SN60990;30.01.2013;7,4;1,7;4,8
Vigra;SN60990;31.01.2013;4,8;0,5;1,9
Vigra;SN60990;01.02.2013;2,2;-1,6;0,8
Vigra;SN60990;02.02.2013;5;1,1;3,2
Vigra;SN60990;03.02.2013;3,7;0;2,2
Vigra;SN60990;04.02.2013;4,3;1,6;3,4
Vigra;SN60990;05.02.2013;5,3;1,1;3
Vigra;SN60990;06.02.2013;3,4;-2,1;-0,2
Vigra;SN60990;07.02.2013;1,7;-6,7;-3,2
Vigra;SN60990;08.02.2013;0,1;-7,3;-2
Vigra;SN60990;09.02.2013;0,1;-4,4;-3,1
Vigra;SN60990;10.02.2013;0,5;-9,4;-2,6
Vigra;SN60990;11.02.2013;0,6;-5,7;-2,2
Vigra;SN60990;12.02.2013;-0,2;-3,9;-0,5
Vigra;SN60990;13.02.2013;1,7;-5,2;-1,4
Vigra;SN60990;14.02.2013;3,9;-7,7;2,2
Vigra;SN60990;15.02.2013;3,9;-0,3;2,4
Vigra;SN60990;16.02.2013;5,8;2,5;4,7
Vigra;SN60990;17.02.2013;7;3,8;5
Vigra;SN60990;18.02.2013;5,4;3,5;4,4
Vigra;SN60990;19.02.2013;5,6;1,1;2,6
Vigra;SN60990;20.02.2013;4,1;1,5;2,5
Vigra;SN60990;21.02.2013;3,8;1,2;2,6
Vigra;SN60990;22.02.2013;6,8;-1;1,9
Vigra;SN60990;23.02.2013;5,5;-3,2;0,8
Vigra;SN60990;24.02.2013;5,5;-1,6;2,2
Vigra;SN60990;25.02.2013;4,6;-2,4;1,3
Vigra;SN60990;26.02.2013;6,3;-0,6;5,5
Vigra;SN60990;27.02.2013;7,5;5,4;6,6
Vigra;SN60990;28.02.2013;7,4;1,2;4,3
Vigra;SN60990;01.03.2013;5,2;0,9;3,2
Vigra;SN60990;02.03.2013;7,1;1;4,2
Vigra;SN60990;03.03.2013;4;0,7;3,4
Vigra;SN60990;04.03.2013;6,1;3,4;5,4
Vigra;SN60990;05.03.2013;6,4;3,4;5
Vigra;SN60990;06.03.2013;6;1,5;3
Vigra;SN60990;07.03.2013;2,7;-0,3;1,1
Vigra;SN60990;08.03.2013;2,6;-1,1;0,4
Vigra;SN60990;09.03.2013;1,6;-2,6;-0,8
Vigra;SN60990;10.03.2013;1,2;-5,2;-2,1
Vigra;SN60990;11.03.2013;0,7;-4,7;-0,5
Vigra;SN60990;12.03.2013;2,1;-2,1;-0,1
Vigra;SN60990;13.03.2013;0,6;-11,4;-3,4
Vigra;SN60990;14.03.2013;1,7;-1,9;-0,3
Vigra;SN60990;15.03.2013;3,1;-2,8;0,5
Vigra;SN60990;16.03.2013;4,4;-1,4;1,9
Vigra;SN60990;17.03.2013;6,6;2;4,6
Vigra;SN60990;18.03.2013;6;2,2;3,2
Vigra;SN60990;19.03.2013;2,4;-1,9;-0,5
Vigra;SN60990;20.03.2013;2,5;-3,1;0,2
Vigra;SN60990;21.03.2013;5,7;-4,1;1,8
Vigra;SN60990;22.03.2013;3,1;-5,2;-0,7
Vigra;SN60990;23.03.2013;1,8;-4,4;-0,7
Vigra;SN60990;24.03.2013;5,1;-2,8;1
Vigra;SN60990;25.03.2013;5;-4,3;0,1
Vigra;SN60990;26.03.2013;4,1;-3,7;0,8
Vigra;SN60990;27.03.2013;2,6;0,2;1,3
Vigra;SN60990;28.03.2013;4,4;-1,1;0,2
Vigra;SN60990;29.03.2013;3,4;-6,3;-0,5
Vigra;SN60990;30.03.2013;4,2;-2,8;1,1
Vigra;SN60990;31.03.2013;3,5;-0,1;1,9
Vigra;SN60990;01.04.2013;5,5;0,7;2,5
Vigra;SN60990;02.04.2013;6,7;0,5;2,8
Vigra;SN60990;03.04.2013;6,7;-0,1;3,7
Vigra;SN60990;04.04.2013;5;1,8;2,8
Vigra;SN60990;05.04.2013;5,5;-4;1,5
Vigra;SN60990;06.04.2013;2,6;-0,3;0,6
Vigra;SN60990;07.04.2013;7,6;-0,3;2
